[125, 0, 25, -10, 0, 1],9497
[125, 0, 25, -10, 50, 1],3517
[125, 0, 25, -10, 100, 1],15
[125, 0, 25, -10, 150, 1],0
[125, 0, 25, -10, 200, 1],0
[125, 0, 25, -10, 250, 1],0
[125, 0, 25, -10, 300, 1],234
[125, 0, 25, -5, 0, 1],54
[125, 0, 25, -5, 50, 1],22
[125, 0, 25, -5, 100, 1],0
[125, 0, 25, -5, 150, 1],0
[125, 0, 25, -5, 200, 1],0
[125, 0, 25, -5, 250, 1],0
[125, 0, 25, -5, 300, 1],2
[125, 0, 25, 0, 0, 1],31700
[125, 0, 25, 0, 50, 1],17479
[125, 0, 25, 0, 100, 1],101
[125, 0, 25, 0, 150, 1],0
[125, 0, 25, 0, 200, 1],0
[125, 0, 25, 0, 250, 1],0
[125, 0, 25, 0, 300, 1],0
[125, 0, 25, 5, 0, 1],3103
[125, 0, 25, 5, 50, 1],19372
[125, 0, 25, 5, 100, 1],157
[125, 0, 25, 5, 150, 1],0
[125, 0, 25, 5, 200, 1],0
[125, 0, 25, 5, 250, 1],0
[125, 0, 25, 5, 300, 1],0
[125, 0, 25, 10, 0, 1],0
[125, 0, 25, 10, 50, 1],756
[125, 0, 25, 10, 100, 1],175
[125, 0, 25, 10, 150, 1],0
[125, 0, 25, 10, 200, 1],0
[125, 0, 25, 10, 250, 1],0
[125, 0, 25, 10, 300, 1],0
[125, 50, 25, -10, 0, 1],39783
[125, 50, 25, -10, 50, 1],7869
[125, 50, 25, -10, 100, 1],47
[125, 50, 25, -10, 150, 1],0
[125, 50, 25, -10, 200, 1],0
[125, 50, 25, -10, 250, 1],0
[125, 50, 25, -10, 300, 1],1588
[125, 50, 25, -5, 0, 1],395
[125, 50, 25, -5, 50, 1],62
[125, 50, 25, -5, 100, 1],0
[125, 50, 25, -5, 150, 1],0
[125, 50, 25, -5, 200, 1],0
[125, 50, 25, -5, 250, 1],0
[125, 50, 25, -5, 300, 1],28
[125, 50, 25, 0, 0, 1],109558
[125, 50, 25, 0, 50, 1],31897
[125, 50, 25, 0, 100, 1],133
[125, 50, 25, 0, 150, 1],0
[125, 50, 25, 0, 200, 1],0
[125, 50, 25, 0, 250, 1],0
[125, 50, 25, 0, 300, 1],0
[125, 50, 25, 5, 0, 1],7889
